Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,DebtRatio,AccountAgeRatio
1000,12,Employed - full time,other,0,248,1,28,11,5,3,9,17,39.39,9474,9474,7,9.473999990526,0.004032258048257024
3000,48,Employed - full time,Other,0,74,1,20,15,4,0,13,5,15.95,14898,14898,0,4.9659999983446665,0.01351351333089847
8000,36,Employed - full time,Car,0,169,2,8,8,0,0,5,0,29.88,22256,22256,0,2.7819999996522498,0.01183431945660166
10000,60,Employed - full time,Debt consolidation,0,183,8,18,6,1,0,1,12,58.5,3749,3749,0,0.37489999996251,0.043715846755651114
3000,60,Employed - full time,Other,0,74,4,4,4,0,0,1,0,31.0,5384,5384,0,1.7946666660684445,0.05405405332359388
14000,36,Employed - full time,Other,0,223,7,14,8,3,0,2,6,66.36,251272,14077,0,17.947999998718,0.031390134388385046
20000,24,Self employed,home improvements,0,175,24,18,13,0,0,0,5,64.44,382587,13698,0,19.129349999043534,0.1371428563591837
3000,48,Employed - full time,Furniture,0,256,13,11,8,0,0,0,3,81.27,84418,30092,0,28.139333323953558,0.050781249801635744
4000,36,Employed - full time,Other,0,116,1,23,19,1,9,3,4,51.05,12370,12370,7,3.092499999226875,0.008620689580856124
6500,48,Employed - full time,Other,1,357,10,15,10,0,0,1,5,119.07,163147,9302,0,25.099538457676992,0.02801120440332996
6500,48,Self employed,Other,0,64,2,27,12,13,0,16,15,16.93,29264,29264,0,4.502153845461207,0.031249999511718758
20000,60,Employed - full time,Other,0,389,6,22,11,3,0,4,11,73.27,420957,73420,0,21.04784999894761,0.015424164484770785
1000,30,Employed - full time,Car,0,86,4,87,17,9,4,9,70,20.03,5737,5737,7,5.736999994263,0.04651162736614387
8000,48,Employed - full time,Other,0,198,4,24,14,0,0,2,10,55.5,33435,33435,0,4.179374999477578,0.0202020200999898
6500,48,Employed - full time,Furniture,0,274,4,29,9,4,8,1,20,72.48,13366,13366,7,2.056307691991337,0.014598540092706058
1000,12,Employed - full time,Car,0,149,1,17,13,1,0,5,4,36.65,5023,5023,0,5.022999994977,0.006711409350930139
1000,24,Employed - full time,Other,0,124,4,26,16,3,0,4,10,41.27,162444,58852,0,162.443999837556,0.032258064255983356
10000,60,Employed - full time,Other,0,197,7,20,6,7,3,3,14,53.15,5573,5573,0,0.5572999999442699,0.03553299474348734
15000,60,Employed - full time,Other,0,104,3,14,9,1,0,5,5,46.79,29515,29515,0,1.967666666535489,0.028846153568786986
6500,48,Employed - part time,Other,0,171,8,9,7,0,1,1,2,43.56,6425,6425,7,0.9884615383094674,0.0467836254574057
6500,48,Employed - full time,Other,0,86,4,36,19,7,4,10,17,36.64,24842,24842,7,3.821846153258177,0.04651162736614387
7500,30,Employed - full time,Other,0,154,1,24,12,5,0,5,12,37.88,3364,3364,0,0.44853333327352884,0.006493506451340867
2000,12,Employed - full time,Other,0,152,0,36,18,4,7,6,18,59.03,10100,10100,7,5.049999997475,0.0
5000,60,Employed - full time,Other,0,64,3,11,4,4,0,3,7,25.36,9522,9522,0,1.9043999996191199,0.04687499926757814
6500,48,Employed - full time,other,0,148,2,8,3,1,0,1,5,57.88,6435,6435,0,0.9899999998476923,0.01351351342220599
10000,48,Employed - full time,Other,1,149,2,35,13,3,0,6,22,58.0,106732,2290,0,10.67319999893268,0.013422818701860278
6500,48,Employed - full time,Other,0,161,14,14,8,0,1,0,6,64.57,6521,6521,0,1.003230769076426,0.08695652119902782
6500,48,Employed - full time,Other,0,302,1,91,10,11,2,12,81,41.33,165173,7672,7,25.41123076532135,0.003311258267181264
5000,60,Employed - full time,Car,0,113,3,5,4,1,0,1,1,56.4,0,0,0,0.0,0.02654867233142768
5000,60,Employed - full time,Vet bill,1,167,19,20,9,2,0,0,11,73.95,181782,19698,0,36.35639999272872,0.11377245440854818
20000,60,Employed - full time,home improvement,0,204,1,16,9,1,1,3,7,71.56,184318,14185,0,9.215899999539205,0.004901960760284506
1000,12,Self employed,car,0,133,31,15,11,0,12,0,4,66.93,6156,6156,7,6.155999993844,0.23308270501441575
2000,36,Retired,debt consolidation,0,141,4,29,15,3,0,5,14,40.55,15312,15312,0,7.6559999961719996,0.028368794125044013
14000,54,Employed - part time,Consolidation,0,138,1,25,13,4,0,4,12,48.44,19433,19433,0,1.3880714284722806,0.007246376759084227
6500,48,Employed - full time,Other,0,267,3,10,5,2,0,2,5,68.9,6777,6777,0,1.0426153844549821,0.011235955014097547
10000,60,Employed - full time,Other,0,99,2,12,11,1,0,7,1,21.25,7659,7659,0,0.76589999992341,0.020202019997959394
12000,60,Employed - part time,Other,0,280,2,17,12,1,0,2,5,90.24,17003,17003,0,1.4169166665485902,0.007142857117346939
1000,12,Employed - full time,Other,0,115,1,10,8,0,2,2,2,30.4,5551,5551,7,5.550999994449,0.008695652098298678
3000,36,Employed - full time,Other,0,242,2,36,9,0,5,3,27,57.36,19000,19000,7,6.333333331222223,0.008264462775766682
10000,60,Self employed,Other,0,53,23,12,9,0,0,0,3,40.08,6236,6236,0,0.6235999999376399,0.43396225596297633
4000,48,Employed - full time,Debt consolidation,0,53,5,3,3,0,1,1,0,23.67,649,649,7,0.1622499999594375,0.0943396208615166
5000,36,Employed - full time,Other,0,259,1,20,18,1,3,8,2,59.8,80507,10428,7,16.10139999677972,0.00386100384609651
500,12,Employed - part time,Other,0,98,3,10,5,4,1,4,5,23.9,1371,1371,0,2.741999994516,0.03061224458558934
1500,24,Employed - full time,Other,0,59,4,16,7,3,0,4,9,27.44,2595,2595,0,1.7299999988466666,0.06779660902039646
10000,60,Employed - full time,debt consolidation,0,266,6,17,8,2,0,2,9,69.88,167751,15263,0,16.77509999832249,0.022556390892645148
17100,60,Self employed,Debt consolidation,0,148,9,21,10,3,2,1,11,57.67,11209,11209,7,0.6554970759850587,0.06081081039992696
10000,60,Self employed,car,0,34,2,10,8,2,0,3,2,18.1,3036,3036,0,0.30359999996964,0.05882352768166096
1000,12,Employed - full time,home improvements,0,85,1,7,6,1,0,6,1,16.14,1793,1793,0,1.792999998207,0.011764705743944639
7000,36,Retired,Other,0,265,45,11,9,0,0,0,2,103.73,15760,12294,0,2.251428571106939,0.16981132011391956
