UID,Amount,Term,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,EmploymentType_Employed - part time,EmploymentType_Retired,EmploymentType_Self employed,DebtRatio,AccountAgeRatio
2622399,1350,24,Car,0,91,3,2,2,0,0,1,0,47.0,0,0,0,False,False,False,0.0,0.03296703260475788
2634178,10000,60,New car,0,120,2,27,19,2,10,4,8,52.15,37760,37760,7,False,False,False,3.7759999996224,0.01666666652777778
2648952,3000,36,Car,0,139,4,25,13,2,1,4,12,40.48,17303,17303,7,False,False,False,5.7676666647441115,0.02877697821023757
2650415,6000,60,Car,0,102,2,19,12,1,0,4,7,33.0,13489,13489,0,False,False,False,2.248166666291972,0.01960784294502115
2652066,6500,60,Car,0,144,51,2,1,0,1,0,1,97.5,595,595,0,True,False,False,0.0915384615243787,0.35416666420717596
2663473,11000,36,Car,0,264,131,5,3,0,0,0,2,196.6,147861,1934,0,False,False,False,13.4419090896871,0.49621211933252984
2668313,1000,12,Car,0,144,3,27,10,5,2,7,17,35.81,6882,6882,7,False,False,False,6.881999993118,0.020833333188657408
2677277,1800,48,Other,0,152,3,22,8,0,0,3,14,35.41,3561,3561,0,False,False,False,1.9783333322342591,0.019736841975415514
2692862,3500,24,Car,0,140,8,5,4,0,2,1,1,66.4,1441,1441,7,False,False,False,0.4117142855966531,0.05714285673469388
2712680,5000,48,Car,0,14,8,2,2,0,0,1,0,11.0,0,0,0,False,False,False,0.0,0.5714285306122479
2713823,5000,24,Car,0,75,12,6,5,0,0,1,1,32.5,11377,11377,1,False,False,False,2.27539999954492,0.1599999978666667
2716073,12000,48,car,0,122,7,9,5,3,0,3,4,37.11,3006,3006,0,False,False,False,0.250499999979125,0.05737704871002419
2718804,15000,60,Car,0,223,12,14,10,0,0,0,4,107.43,93282,21844,0,False,False,False,6.218799999585413,0.053811658951517224
2725679,15000,54,Other,0,317,10,25,6,3,0,1,19,52.92,154491,24666,0,False,False,False,10.299399999313373,0.03154574122540776
2727489,10000,36,Car,0,137,3,20,5,2,0,1,15,56.65,823,823,0,False,False,False,0.08229999999177,0.02189781005914007
